corpus,drama,begin.Act,end.Act,Number.Act,begin.Scene,end.Scene,Number.Scene
gdc,rksp.0,376,26914,0,390,2510,0
gdc,rksp.0,376,26914,0,2524,3644,0
gdc,rksp.0,376,26914,0,3657,4346,0
gdc,rksp.0,376,26914,0,4359,12327,0
gdc,rksp.0,376,26914,0,12341,13071,0
gdc,rksp.0,376,26914,0,13085,23761,0
gdc,rksp.0,376,26914,0,23775,25290,0
gdc,rksp.0,376,26914,0,25303,26914,0
gdc,rksp.0,26930,56735,0,26944,27299,0
gdc,rksp.0,26930,56735,0,27312,28557,0
gdc,rksp.0,26930,56735,0,28570,32543,0
gdc,rksp.0,26930,56735,0,32556,36244,0
gdc,rksp.0,26930,56735,0,36257,36687,0
gdc,rksp.0,26930,56735,0,36701,44370,0
gdc,rksp.0,26930,56735,0,44384,48503,0
gdc,rksp.0,26930,56735,0,48516,50128,0
gdc,rksp.0,26930,56735,0,50142,50778,0
gdc,rksp.0,26930,56735,0,50792,55936,0
gdc,rksp.0,26930,56735,0,55949,56735,0
gdc,rksp.0,56752,79747,0,56766,62368,0
gdc,rksp.0,56752,79747,0,62382,65328,0
gdc,rksp.0,56752,79747,0,65341,67102,0
gdc,rksp.0,56752,79747,0,67115,70439,0
gdc,rksp.0,56752,79747,0,70452,73391,0
gdc,rksp.0,56752,79747,0,73404,74931,0
gdc,rksp.0,56752,79747,0,74945,75603,0
gdc,rksp.0,56752,79747,0,75616,79747,0
gdc,rksp.0,79764,112733,0,79778,86279,0
gdc,rksp.0,79764,112733,0,86292,88012,0
gdc,rksp.0,79764,112733,0,88025,94689,0
gdc,rksp.0,79764,112733,0,94703,95409,0
gdc,rksp.0,79764,112733,0,95422,101439,0
gdc,rksp.0,79764,112733,0,101453,104052,0
gdc,rksp.0,79764,112733,0,104065,109956,0
gdc,rksp.0,79764,112733,0,109969,112733,0
gdc,rksp.0,112750,136067,0,112764,114948,0
gdc,rksp.0,112750,136067,0,114961,116045,0
gdc,rksp.0,112750,136067,0,116059,117958,0
gdc,rksp.0,112750,136067,0,117971,118919,0
gdc,rksp.0,112750,136067,0,118932,127962,0
gdc,rksp.0,112750,136067,0,127976,128838,0
gdc,rksp.0,112750,136067,0,128852,134204,0
gdc,rksp.0,112750,136067,0,134217,136067,0
